이름,제조회사,모델명,가격,배기량,연식,색상,주행거리,변속기,연료,차종,압류/저당,구동방식,사고유무,전손이력,생산지
기아 MQ4 디젤 2.2 4WD 시그니처,기아,MQ4,1380,2200,2020,검정색,3066,자동,경유,0,0,전륜,0,0,국산차
기아 올뉴 쏘렌토 2.0 4WD 노블레스,기아,쏘렌토,1010,2000,2018,흰색,950,자동,경유,SUV,0,후륜,0,0,국산차
기아 더 뉴 카니발 디젤 9인승 하이리무진,기아,카니발,760,2100,2020,흰색,247,자동,경유,RV,0,후륜,0,0,국산차
기아 봉고3 트럭 1톤 초장축 더블캡 CRDi,기아,봉고,540,2500,2018,청색,638,자동,경유,화물차,0,후륜,0,0,국산차
기아 스포티지 더 볼드 2.0 디젤 2WD,기아,스포티지,540,2000,2021,흰색,1035,자동,경유,SUV,0,전륜,0,0,국산차
기아 K7 프리미어 3.0 LPI,기아,K7,1470,3000,2020,흰색,1300,자동,LPG,대형차,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.0 4WD 노블레스 스페셜,기아,쏘렌토,610,2000,2019,검정색,89,자동,경유,SUV,0,후륜,0,0,국산차
기아 올 뉴 모닝(JA) 프레스티지,기아,모닝,280,1000,2019,베이지색,21,자동,휘발유,경차,0,전륜,0,0,국산차
기아 K7 프리미어 2.2 디젤,기아,K7,1470,2200,2020,흰색,3100,자동,경유,대형차,0,전륜,0,0,국산차
기아 더 뉴 봉고3 1톤 더블캡 초장축,기아,봉고,350,2500,2020,청색,742,자동,경유,화물차,0,후륜,0,0,국산차
기아 셀토스 1.6 가솔린 터보 프레스티지,기아,셀토스,740,1600,2020,흰색,5494,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더 뉴 카니발 디젤 9인승 노블레스 스페셜,기아,카니발,790,2200,2020,검정색,2100,자동,경유,RV,0,후륜,0,0,국산차
기아 올뉴K3 G1.6 프레스티지,기아,K3,980,1599,2020,검정색,665,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 더뉴모하비 4WD VIP 7인,기아,모하비,840,3000,2019,검정색,4978,자동,경유,SUV,0,후륜,0,0,국산차
기아 올뉴K3 G1.6 노블레스,기아,K3,400,1600,2019,다크블루색,38508,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 올뉴 쏘렌토 2.0 2WD 노블레스,기아,쏘렌토,830,2000,2017,검정색,8300,자동,경유,SUV,0,후륜,0,0,국산차
기아 더 K9 가솔린 4WD 3.3 T-GDI AWD 마스터즈 Ⅲ,기아,K9,1570,3800,2020,검정색,947,자동,휘발유,대형차,0,후륜,0,0,국산차
기아 더뉴 니로 노블레스 스페셜,기아,니로,380,1600,2020,검정색,521,자동,하이브리드,SUV,0,전륜,0,0,국산차
기아 K5 3세대 1.6 터보 시그니처,기아,K5,1150,1600,2021,흰색,13580,자동,경유,중형차,0,후륜,0,0,국산차
기아 카니발4세대  가솔린 7인승 시그니처,기아,카니발,1720,3000,2021,검정색,2761,자동,휘발유,RV,0,후륜,0,0,국산차
기아 셀토스 1.6 디젤 노블레스,기아,셀토스,630,1600,2020,흰색,460,자동,경유,SUV,0,전륜,0,0,국산차
기아 올 뉴 모닝(JA) 프레스티지,기아,모닝,540,1000,2020,검정색,3370,자동,휘발유,경차,0,전륜,0,0,국산차
기아 K7 프리미어 3.0 가솔린,기아,K7,1470,3000,2020,검정색,1573,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 올 뉴 모닝(JA) 럭셔리,기아,모닝,650,1000,2019,베이지색,9969,자동,휘발유,경차,0,전륜,0,0,국산차
기아 더 K9 가솔린 4WD 3.8 GDI AWD 플래티넘Ⅱ,기아,K9,3850,3800,2020,흰색,66,자동,휘발유,대형차,0,후륜,0,0,국산차
기아 더 뉴 카니발 디젤 9인승 노블레스 스페셜,기아,카니발,700,2200,2019,흰색,1239,자동,경유,RV,0,후륜,0,0,국산차
기아 봉고3 트럭 1톤 초장축 더블캡 CRDi,기아,봉고,310,2500,2018,흰색,460,자동,경유,화물차,0,후륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.0 4WD 노블레스 스페셜,기아,쏘렌토,770,2000,2020,검정색,1640,자동,경유,SUV,0,후륜,0,0,국산차
기아 카니발4세대  가솔린 9인승 시그니처,기아,카니발,1600,2200,2021,검정색,989,자동,경유,RV,0,후륜,0,0,국산차
기아 더뉴레이 프레스티지,기아,레이,810,1000,2021,흰색,1100,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더뉴레이 프레스티지,기아,레이,520,998,2020,베이지색,100,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더 SUV 스포티지 디젤 2.0 4WD 노블레스,기아,스포티지,400,2000,2018,흰색,3106,자동,경유,SUV,0,전륜,0,0,국산차
기아 더 뉴 카니발 디젤 7인승 리무진 프레지던트,기아,카니발,670,2200,2020,검정색,4597,자동,경유,RV,0,후륜,0,0,국산차
기아 스포티지 더 볼드 2.0 디젤 4WD,기아,스포티지,440,2000,2019,흰색,85,자동,경유,SUV,0,전륜,0,0,국산차
기아 MQ4 디젤 2.2 2WD 시그니처,기아,MQ4,1550,2200,2020,청색,10000,자동,경유,0,0,전륜,0,0,국산차
기아 셀토스 1.6 가솔린 터보 노블레스,기아,셀토스,630,1598,2020,흰색,17562,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더뉴k5 2세대  1.7 디젤,기아,K5,370,1700,2018,흰색,6159,자동,경유,중형차,0,후륜,0,0,국산차
기아 스포티지 더 볼드 2.0 디젤 4WD,기아,스포티지,440,2000,2019,흰색,1561,자동,경유,SUV,0,전륜,0,0,국산차
기아 올 뉴 k7 3.0 LPI 프레스티지,기아,K7,560,3000,2019,흰색,82,자동,LPG,대형차,0,전륜,0,0,국산차
기아 더뉴K3 1.6 GDI 노블레스,기아,K3,280,1500,2019,흰색,990,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 카니발4세대  가솔린 7인승 시그니처,기아,카니발,1720,3000,2021,검정색,13000,자동,휘발유,RV,0,후륜,0,0,국산차
기아 올 뉴 모닝(JA) 프레스티지,기아,모닝,540,1000,2020,흰색,120,자동,휘발유,경차,0,전륜,0,0,국산차
기아 더 뉴 카니발 디젤 9인승 노블레스 스페셜,기아,카니발,700,2200,2019,검정색,92,자동,경유,RV,0,후륜,0,0,국산차
기아 봉고3 트럭 1톤 초장축 더블캡 CRDi,기아,봉고,540,2500,2018,청색,984,자동,경유,화물차,0,후륜,0,0,국산차
기아 더뉴모하비 4WD 프레지던트 7인,기아,모하비,1770,3000,2019,검정색,4411,자동,경유,SUV,0,후륜,0,0,국산차
기아 올 뉴 모닝(JA) 프레스티지,기아,모닝,760,1000,2020,흰색,607,자동,휘발유,경차,0,전륜,0,0,국산차
기아 더 뉴 카니발 디젤 9인승 하이리무진,기아,카니발,1820,2200,2019,검정색,178,자동,경유,RV,0,후륜,0,0,국산차
기아 K7 프리미어 2.5 가솔린,기아,K7,1370,2500,2020,흰색,211,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 더 K9 가솔린 2WD 3.8 GDI 플래티넘Ⅱ,기아,K9,2480,3799,2020,검정색,116,자동,휘발유,대형차,0,후륜,0,0,국산차
기아 더뉴모하비 4WD VIP 7인,기아,모하비,970,3000,2019,검정색,8345,자동,경유,SUV,0,후륜,0,0,국산차
기아 더 뉴 카니발 디젤 9인승 노블레스 스페셜,기아,카니발,900,2200,2019,검정색,69,자동,경유,RV,0,후륜,0,0,국산차
기아 스포티지 더 볼드 2.0 디젤 4WD,기아,스포티지,440,2000,2019,흰색,1561,자동,경유,SUV,0,전륜,0,0,국산차
기아 더 SUV 스포티지 디젤 2.0 2WD 트렌디,기아,스포티지,750,2000,2018,청색,5105,자동,경유,SUV,0,전륜,0,0,국산차
기아 올 뉴 모닝(JA) 럭셔리,기아,모닝,520,1000,2020,베이지색,1054,자동,휘발유,경차,0,전륜,0,0,국산차
기아 모하비 더 마스터 플래티넘 6인승,기아,모하비,1470,3000,2020,검정색,9055,자동,경유,SUV,0,후륜,0,0,국산차
기아 K7 프리미어 하이브리드 2.4 HEV,기아,K7,740,2400,2020,흰색,624,자동,하이브리드,대형차,0,전륜,0,0,국산차
기아 더뉴모하비 4WD 프레지던트 7인,기아,모하비,1770,3000,2019,흰색,98,자동,경유,SUV,0,후륜,0,0,국산차
기아 더뉴k5 2세대  1.7 디젤,기아,K5,650,2000,2019,흰색,703,자동,경유,중형차,0,후륜,0,0,국산차
기아 스팅어 2.0 터보 AWD 플래티넘,기아,스팅어,610,2000,2020,다크블루색,2422,자동,휘발유,중형차,0,후륜,0,0,국산차
기아 더뉴K3 1.6 GDI 노블레스,기아,K3,560,1600,2018,흰색,6909,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 더뉴레이 프레스티지,기아,레이,300,1000,2020,흰색,823,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 봉고3 트럭 1톤 초장축 더블캡 CRDi,기아,봉고,350,2500,2018,흰색,94,자동,경유,화물차,0,후륜,0,0,국산차
기아 K7 프리미어 하이브리드 2.4 HEV,기아,K7,1470,2400,2020,검정색,867,자동,하이브리드,대형차,0,전륜,0,0,국산차
기아 셀토스 1.6 가솔린 터보 노블레스,기아,셀토스,1470,1600,2020,청색,200,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.0 4WD 노블레스 스페셜,기아,쏘렌토,540,2000,2019,검정색,98,자동,경유,SUV,0,후륜,0,0,국산차
기아 올뉴K3 G1.6 노블레스,기아,K3,1450,1600,2020,흰색,12923,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 올뉴 쏘렌토 2.0 4WD 노블레스,기아,쏘렌토,560,2000,2017,다크그레이색,225,자동,경유,SUV,0,후륜,0,0,국산차
기아 올 뉴 쏘울 디젤 노블레스 브라운존,기아,쏘울,820,1600,2019,흰색,192,자동,경유,준중형차,0,후륜,0,0,국산차
기아 올뉴K3 G1.6 노블레스,기아,K3,910,1600,2019,흰색,1800,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 봉고3 트럭 파워케이트,기아,봉고,700,2500,2018,청색,870,자동,경유,화물차,0,후륜,0,0,국산차
기아 스포티지 더 볼드 2.0 디젤 2WD,기아,스포티지,340,2000,2019,흰색,3026,자동,경유,SUV,0,전륜,0,0,국산차
기아 셀토스 1.6 디젤 노블레스,기아,셀토스,1470,1599,2020,검정색,191,자동,경유,SUV,0,전륜,0,0,국산차
기아 올뉴K3 G1.6 노블레스,기아,K3,800,1600,2018,검정색,1728,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.2 4WD 노블레스,기아,쏘렌토,1240,2200,2020,다크그레이색,781,자동,경유,SUV,0,후륜,0,0,국산차
기아 K7 프리미어 2.5 가솔린,기아,K7,1470,3000,2020,검정색,43,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 올뉴K3 G1.6 노블레스,기아,K3,910,1600,2019,흰색,668,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 더 뉴 카렌스 1.7 VGT 프레스티지,기아,카렌스,480,1700,2018,검정색,3360,자동,경유,RV,0,전륜,0,0,국산차
기아 더뉴모하비 4WD 프레지던트 7인,기아,모하비,1770,2999,2019,흰색,346,자동,경유,SUV,0,후륜,0,0,국산차
기아 더 SUV 스포티지 디젤 2.0 4WD 노블레스,기아,스포티지,490,2000,2018,검정색,2788,자동,경유,SUV,0,전륜,0,0,국산차
기아 스토닉 디젤 1.6 트렌디,기아,스토닉,790,1600,2018,검정색,540,자동,경유,SUV,0,전륜,0,0,국산차
기아 더뉴레이 프레스티지,기아,레이,650,1000,2019,베이지색,37,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 봉고3 트럭 1톤 초장축 킹캡 CRDi,기아,봉고,350,2500,2018,흰색,9412,자동,경유,화물차,0,후륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.0 4WD 노블레스 스페셜,기아,쏘렌토,1520,2000,2019,흰색,4410,자동,경유,SUV,0,후륜,0,0,국산차
기아 MQ4 디젤 2.2 4WD 시그니처,기아,MQ4,780,2200,2020,청색,5067,자동,경유,0,0,전륜,0,0,국산차
기아 MQ4 디젤 2.2 4WD 시그니처,기아,MQ4,1380,2200,2020,흰색,1235,자동,경유,0,0,전륜,0,0,국산차
기아 올뉴 카니발 2.2 디젤 9인승 노블레스,기아,카니발,1890,2200,2017,검정색,1090,자동,경유,RV,0,후륜,0,0,국산차
기아 더 뉴 카니발 가솔린 7인승 리무진 프레지던트,기아,카니발,1680,2199,2019,검정색,10522,자동,휘발유,RV,0,후륜,0,0,국산차
기아 더뉴레이 프레스티지,기아,레이,730,1000,2020,흰색,2051,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더 뉴 카니발 디젤 9인승 하이리무진,기아,카니발,1820,2200,2019,흰색,431,자동,경유,RV,0,후륜,0,0,국산차
기아 올 뉴 k7 3.3 GDI 노블레스,기아,K7,1120,3300,2018,검정색,7840,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.2 4WD 노블레스 스페셜,기아,쏘렌토,660,2200,2020,흰색,1023,자동,경유,SUV,0,후륜,0,0,국산차
기아 더뉴레이 트렌디,기아,레이,270,1000,2019,청색,2455,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더뉴레이 트렌디,기아,레이,310,1000,2020,검정색,659,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더 뉴 카니발 디젤 9인승 노블레스,기아,카니발,1100,2200,2019,검정색,2637,자동,경유,RV,0,후륜,0,0,국산차
기아 올뉴 카니발 7인승 리무진,기아,카니발,1170,2200,2017,검정색,98,자동,경유,RV,0,후륜,0,0,국산차
기아 K5 3세대 1.6 터보 시그니처,기아,K5,870,1600,2020,다크그레이색,7220,자동,휘발유,중형차,0,후륜,0,0,국산차
기아 카니발4세대  7인승 시그니처,기아,카니발,980,2200,2021,검정색,123,자동,경유,RV,0,후륜,0,0,국산차
기아 MQ4 하이브리드 HEV 1.6 2WD 노블레스,기아,MQ4,1140,2000,2020,검정색,6653,자동,하이브리드,0,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.2 4WD 노블레스,기아,쏘렌토,1240,2200,2020,흰색,3622,자동,경유,SUV,0,후륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.0 4WD 노블레스 스페셜,기아,쏘렌토,1710,2000,2020,흰색,1355,자동,경유,SUV,0,후륜,0,0,국산차
기아 올 뉴 모닝(JA) 프레스티지,기아,모닝,540,998,2020,흰색,299,자동,휘발유,경차,0,전륜,0,0,국산차
기아 올 뉴 k7 3.0 LPI 럭셔리,기아,K7,830,3000,2019,흰색,3086,자동,LPG,대형차,0,전륜,0,0,국산차
기아 셀토스 1.6 가솔린 터보 프레스티지,기아,셀토스,2100,1600,2020,검정색,896,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더뉴모하비 2WD 노블레스 7인,기아,모하비,670,3000,2020,흰색,1226,자동,경유,SUV,0,후륜,0,0,국산차
기아 더 뉴 봉고3 1톤 더블캡 초장축,기아,봉고,350,2500,2020,청색,842,자동,경유,화물차,0,후륜,0,0,국산차
기아 스포티지 더 볼드 2.0 디젤 2WD,기아,스포티지,670,2000,2019,흰색,614,자동,경유,SUV,0,전륜,0,0,국산차
기아 올 뉴 모닝(JA) 럭셔리,기아,모닝,460,1000,2019,베이지색,55,자동,휘발유,경차,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.2 4WD 노블레스 스페셜,기아,쏘렌토,1870,2200,2020,흰색,629,자동,경유,SUV,0,후륜,0,0,국산차
기아 더뉴모하비 4WD 프레지던트 7인,기아,모하비,670,3000,2020,검정투톤색,2982,자동,경유,SUV,0,후륜,0,0,국산차
기아 스포티지 더 볼드 2.0 디젤 2WD,기아,스포티지,750,2000,2020,흰색,1461,자동,경유,SUV,0,전륜,0,0,국산차
기아 더뉴레이 프레스티지,기아,레이,520,1000,2020,흰색,933,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더 K9 가솔린 4WD 3.8 GDI AWD 플래티넘Ⅱ,기아,K9,3850,3800,2020,검정색,102,자동,휘발유,대형차,0,후륜,0,0,국산차
기아 모하비 더 마스터 플래티넘 6인승,기아,모하비,1110,3000,2020,검정색,12933,자동,경유,SUV,0,후륜,0,0,국산차
기아 니로 1.6 하이브리드 노블레스,기아,니로,290,1600,2020,흰색,1400,자동,하이브리드,SUV,0,전륜,0,0,국산차
기아 더 뉴 카니발 디젤 9인승 하이리무진,기아,카니발,2050,2200,2020,흰색,52,자동,경유,RV,0,후륜,0,0,국산차
기아 스포티지 더 볼드 1.6 디젤 4WD,기아,스포티지,700,1600,2020,진주색,16446,자동,경유,SUV,0,전륜,0,0,국산차
기아 올 뉴 모닝(JA) 럭셔리,기아,모닝,240,1000,2020,흰색,1288,자동,휘발유,경차,0,전륜,0,0,국산차
기아 더 뉴 카니발 디젤 9인승 노블레스,기아,카니발,1550,2200,2020,검정색,1092,자동,경유,RV,0,후륜,0,0,국산차
기아 더 뉴 쏘렌토 가솔린 2.0 터보 4WD 프레스티지,기아,쏘렌토,1100,2000,2020,검정색,13,자동,휘발유,SUV,0,후륜,0,0,국산차
기아 올뉴 카니발 9인승 하이리무진 노블레스,기아,카니발,620,2199,2017,검정색,4515,자동,경유,RV,0,후륜,0,0,국산차
기아 더뉴모하비 4WD 프레지던트 7인,기아,모하비,590,3000,2019,다크그레이색,14,자동,경유,SUV,0,후륜,0,0,국산차
기아 K7 프리미어 2.5 가솔린,기아,K7,1470,2200,2020,검정색,188,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 스팅어 3.3 터보 AWD GT,기아,스팅어,1120,3300,2019,흰색,110,자동,휘발유,중형차,0,후륜,0,0,국산차
기아 더 뉴 카니발 디젤 7인승 리무진 프레지던트,기아,카니발,1990,2200,2020,검정색,121,자동,경유,RV,0,후륜,0,0,국산차
기아 올 뉴 k7 3.0 LPI 럭셔리,기아,K7,830,3000,2019,다크그레이색,2364,자동,LPG,대형차,0,전륜,0,0,국산차
기아 더 뉴 카니발 디젤 9인승 프레스티지,기아,카니발,1940,2200,2019,흰색,76,자동,경유,RV,0,후륜,0,0,국산차
기아 K5 2세대 (SX) 2.0 노블레스,기아,K5,1050,2000,2020,다크블루색,2483,자동,휘발유,중형차,0,후륜,0,0,국산차
기아 더뉴모하비 4WD 프레지던트 7인,기아,모하비,590,3000,2019,흰색,2537,자동,경유,SUV,0,후륜,0,0,국산차
기아 더뉴레이 프레스티지,기아,레이,240,1000,2019,흰색,32,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 MQ4 디젤 2.2 2WD 프레스티지,기아,MQ4,890,2200,2020,흰색,136,자동,경유,0,0,전륜,0,0,국산차
기아 올 뉴 모닝(JA) 프레스티지,기아,모닝,540,1000,2020,베이지색,7850,자동,휘발유,경차,0,전륜,0,0,국산차
기아 올뉴K3 G1.6 프레스티지,기아,K3,380,1600,2019,검정색,1108,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 K7 프리미어 3.0 가솔린,기아,K7,1370,3000,2020,검정색,6866,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 K7 하이브리드 700h 프레스티지,기아,K7,180,2400,2018,흰색,259,자동,하이브리드,대형차,0,전륜,0,0,국산차
기아 K5 2세대 (MX) 2.0 시그니처,기아,K5,680,2000,2017,검정색,8490,자동,휘발유,중형차,0,후륜,0,0,국산차
기아 올뉴 쏘렌토 2.0 4WD 프레스티지,기아,쏘렌토,1180,2000,2017,검정색,97,자동,경유,SUV,0,후륜,0,0,국산차
기아 스토닉 디젤 1.6 트렌디,기아,스토닉,410,1400,2019,흰색,713,자동,경유,SUV,0,전륜,0,0,국산차
기아 니로 1.6 하이브리드 노블레스,기아,니로,560,1600,2019,청색,15562,자동,하이브리드,SUV,0,전륜,0,0,국산차
기아 더 SUV 스포티지 1.7 노블레스,기아,스포티지,460,1700,2018,흰색,4598,자동,경유,SUV,0,전륜,0,0,국산차
기아 카니발4세대  9인승 하이리무진,기아,카니발,870,2200,2021,검정색,740,자동,경유,RV,0,후륜,0,0,국산차
기아 K9 3.8 GDI 노블레스,기아,K9,960,3800,2014,검정색,8840,자동,휘발유,대형차,0,후륜,0,0,국산차
기아 봉고3 트럭 내장탑차 1.2톤,기아,봉고,700,2500,2018,흰색,997,자동,경유,화물차,0,후륜,0,0,국산차
기아 MQ4 하이브리드 HEV 1.6 2WD 시그니처,기아,MQ4,980,1600,2021,흰색,224,자동,하이브리드,0,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.0 2WD 노블레스,기아,쏘렌토,830,2000,2018,흰색,3022,자동,경유,SUV,0,후륜,0,0,국산차
기아 봉고3 트럭 1.4톤 윙바디 CRDi,기아,봉고,490,2500,2018,흰색,42,자동,경유,화물차,0,후륜,0,0,국산차
기아 니로 1.6 하이브리드 노블레스,기아,니로,1240,1600,2019,흰색,1000,자동,하이브리드,SUV,0,전륜,0,0,국산차
기아 MQ4 디젤 2.2 4WD 시그니처,기아,MQ4,780,2200,2020,청색,5067,자동,경유,0,0,전륜,0,0,국산차
기아 MQ4 디젤 2.2 2WD 노블레스,기아,MQ4,1770,2200,2020,검정색,1220,자동,경유,0,0,전륜,0,0,국산차
기아 모하비 더 마스터 플래티넘 6인승,기아,모하비,870,3,2020,검정색,11762,자동,경유,SUV,0,후륜,0,0,국산차
기아 더 뉴 카니발 가솔린 9인승 노블레스 스페셜,기아,카니발,520,2200,2018,흰색,3210,자동,휘발유,RV,0,후륜,0,0,국산차
기아 더 SUV 스포티지 1.7 노블레스,기아,스포티지,320,1700,2018,흰색,4698,수동,경유,SUV,0,전륜,0,0,국산차
기아 봉고3 트럭 1.4톤 윙바디 CRDi,기아,봉고,490,2500,2018,흰색,42,자동,경유,화물차,0,후륜,0,0,국산차
기아 K5 3세대 1.6 터보 시그니처,기아,K5,320,1600,2020,흰색,6355,자동,휘발유,중형차,0,후륜,0,0,국산차
기아 올뉴 카니발 2.2 디젤 9인승 프레스티지,기아,카니발,1230,2199,2017,검정색,2988,자동,경유,RV,0,후륜,0,0,국산차
기아 카니발4세대   7인승 하이리무진,기아,카니발,980,2200,2021,흰색,123,자동,경유,RV,0,후륜,0,0,국산차
기아 올뉴 쏘렌토 2.2 4WD 노블레스,기아,쏘렌토,660,2200,2015,검정색,15880,자동,경유,SUV,0,후륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.0 4WD 노블레스 스페셜,기아,쏘렌토,310,2200,2019,흰색,5656,자동,경유,SUV,0,후륜,0,0,국산차
기아 MQ4 디젤 2.2 4WD 노블레스,기아,MQ4,780,2200,2020,검정색,96,자동,경유,0,0,전륜,0,0,국산차
기아 봉고3 트럭 1톤 초장축 더블캡 CRDi,기아,봉고,310,2500,2018,청색,96,자동,경유,화물차,0,후륜,0,0,국산차
기아 올 뉴 k7 2.4 GDI 프레스티지,기아,K7,680,2400,2019,검정색,3616,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 올뉴K3 G1.6 노블레스,기아,K3,1290,1600,2019,흰색,631,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 니로 1.6 하이브리드 노블레스,기아,니로,560,1600,2019,청색,15562,자동,하이브리드,SUV,0,전륜,0,0,국산차
기아 올 뉴 모닝(JA) 프레스티지,기아,모닝,140,1000,2019,흰색,87,자동,휘발유,경차,0,전륜,0,0,국산차
기아 모하비 더 마스터 플래티넘 6인승,기아,모하비,980,2998,2020,검정색,41000,자동,경유,SUV,0,후륜,0,0,국산차
기아 더뉴모하비 4WD 프레지던트 7인,기아,모하비,2520,3000,2019,흰색,98,자동,경유,SUV,0,후륜,0,0,국산차
기아 올뉴K3 G1.6 노블레스,기아,K3,1290,1600,2019,검정색,79,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 올 뉴 모닝(JA) 프레스티지,기아,모닝,540,1000,2020,흰색,169,자동,휘발유,경차,0,전륜,0,0,국산차
기아 올 뉴 k7 3.3 GDI 노블레스,기아,K7,1120,3300,2018,검정색,4189,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 봉고3 트럭 내장탑차 1.2톤,기아,봉고,490,2500,2018,흰색,3325,자동,경유,화물차,0,후륜,0,0,국산차
기아 더뉴모하비 4WD VIP 7인,기아,모하비,1690,3000,2019,검정색,1305,자동,경유,SUV,0,후륜,0,0,국산차
기아 더 뉴 카니발 가솔린 7인승 리무진 프레지던트,기아,카니발,1770,3000,2020,검정색,6616,자동,휘발유,RV,0,후륜,0,0,국산차
기아 스팅어 3.3 터보 AWD 마스터즈,기아,스팅어,1230,3300,2020,흰색,610,자동,휘발유,중형차,0,후륜,0,0,국산차
기아 올 뉴 k7 3.3 GDI 노블레스 스페셜,기아,K7,1340,3300,2019,검정색,809,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 카니발4세대  7인승 노블레스,기아,카니발,1550,3000,2020,검정색,4100,자동,경유,RV,0,후륜,0,0,국산차
기아 니로 1.6 하이브리드 노블레스,기아,니로,870,1600,2019,흰색,1152,자동,하이브리드,SUV,0,전륜,0,0,국산차
기아 올 뉴 k7 3.3 GDI 노블레스 스페셜,기아,K7,1170,3300,2018,흰색,229,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 K5 3세대 1.6 터보 시그니처,기아,K5,1110,1600,2020,기타색,134,자동,휘발유,중형차,0,후륜,0,0,국산차
기아 스토닉 디젤 1.6 프레스티지,기아,스토닉,680,1600,2019,다크그레이색,79,자동,경유,SUV,0,전륜,0,0,국산차
기아 더 뉴 카니발 디젤 9인승 노블레스,기아,카니발,1100,2200,2019,검정색,657,자동,경유,RV,0,후륜,0,0,국산차
기아 봉고3 트럭 파워케이트,기아,봉고,280,2200,2018,흰색,28000,자동,경유,화물차,0,후륜,0,0,국산차
기아 더뉴레이 프레스티지,기아,레이,650,998,2019,흰색,219,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더 뉴 카니발 디젤 9인승 럭셔리,기아,카니발,1880,2200,2019,검정색,784,자동,경유,RV,0,후륜,0,0,국산차
기아 더 SUV 스포티지 디젤 2.0 2WD 노블레스,기아,스포티지,420,2000,2018,흰색,5498,자동,경유,SUV,0,전륜,0,0,국산차
기아 더뉴레이 프레스티지,기아,레이,300,1000,2019,흰색,5000,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 봉고3 트럭 1톤 워크스루밴,기아,봉고,470,2500,2018,흰색,183,자동,경유,화물차,0,후륜,0,0,국산차
기아 더뉴K3 1.6 GDI 노블레스,기아,K3,280,1600,2018,흰색,1294,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 올 뉴 k7 하이브리드 노블레스 스페셜,기아,K7,790,3000,2019,흰색,1000,자동,하이브리드,대형차,0,전륜,0,0,국산차
기아 셀토스 1.6 가솔린 터보 노블레스,기아,셀토스,740,1600,2020,흰색,137,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 K5 3세대 1.6 터보 시그니처,기아,K5,1150,1600,2021,흰색,4990,자동,휘발유,중형차,0,후륜,0,0,국산차
기아 카니발4세대  9인승 시그니처,기아,카니발,740,2200,2021,흰색,300,자동,경유,RV,0,후륜,0,0,국산차
기아 셀토스 1.6 가솔린 터보 노블레스,기아,셀토스,2100,1600,2020,흰색,1120,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 모하비 더 마스터 플래티넘 6인승,기아,모하비,1470,3000,2020,검정색,5550,자동,경유,SUV,0,후륜,0,0,국산차
기아 올 뉴 k7 3.0 LPI 럭셔리,기아,K7,680,3000,2019,은색,2721,자동,LPG,대형차,0,전륜,0,0,국산차
